x;y;tempo;invert
7041;7041;0.17200;1
7051;7051;0.18000;1
7061;7061;0.17600;1
7071;7071;0.17600;1
7081;7081;0.20400;1
7091;7091;0.17200;1
7101;7101;0.18100;1
7111;7111;0.17600;1
7121;7121;0.27100;1
7131;7131;0.18000;1
7141;7141;0.17600;1
7151;7151;0.17600;1
7161;7161;0.17600;1
7171;7171;0.18000;1
7181;7181;0.17600;1
7191;7191;0.18000;1
7201;7201;0.18800;1
7211;7211;0.18400;1
7221;7221;0.18400;1
7231;7231;0.18900;1
7241;7241;0.18400;1
7251;7251;0.18000;1
7261;7261;0.20900;1
7271;7271;0.19600;1
7281;7281;0.34800;1
7291;7291;0.18800;1
7301;7301;0.18500;1
7311;7311;0.18800;1
7321;7321;0.29200;1
7331;7331;0.18500;1
7341;7341;0.18400;1
7351;7351;0.18900;1
7361;7361;0.20000;1
7371;7371;0.18800;1
7381;7381;0.19200;1
7391;7391;0.19200;1
7401;7401;0.19300;1
7411;7411;0.20400;1
7421;7421;0.20100;1
7431;7431;0.19200;1
7441;7441;0.21600;1
7451;7451;0.19200;1
7461;7461;0.19200;1
7471;7471;0.20000;1
7481;7481;0.19200;1
7491;7491;0.19600;1
7501;7501;0.20000;1
7511;7511;0.19600;1
7521;7521;0.20400;1
7531;7531;0.19600;1
7541;7541;0.20000;1
7551;7551;0.22000;1
7561;7561;0.20000;1
7571;7571;0.20000;1
7581;7581;0.20100;1
7591;7591;0.20000;1
7601;7601;0.20100;1
7611;7611;0.20000;1
7621;7621;0.28000;1
7631;7631;0.20800;1
7641;7641;0.20400;1
7651;7651;0.20000;1
7661;7661;0.20800;1
7671;7671;0.20400;1
7681;7681;0.21200;1
7691;7691;0.20500;1
7701;7701;0.20900;1
7711;7711;0.20800;1
7721;7721;0.21200;1
7731;7731;0.24000;1
7741;7741;0.21600;1
7751;7751;0.20800;1
7761;7761;0.22400;1
7771;7771;0.21200;1
7781;7781;0.20800;1
7791;7791;0.24400;1
7801;7801;0.21200;1
7811;7811;0.21200;1
7821;7821;0.22000;1
7831;7831;0.21200;1
7841;7841;0.21300;1
7851;7851;0.21200;1
7861;7861;0.29300;1
7871;7871;0.22000;1
7881;7881;0.21600;1
7891;7891;0.21700;1
7901;7901;0.22000;1
7911;7911;0.21600;1
