x;y;tempo;inverso
5771;5771; 0.44;1
5781;5781; 0.45;1
5791;5791; 0.44;1
5801;5801; 0.45;1
5811;5811; 0.44;1
5821;5821; 0.45;1
5831;5831; 0.45;1
5841;5841; 0.48;1
5851;5851; 0.46;1
5861;5861; 0.45;1
5871;5871; 0.59;1
5881;5881; 0.55;1
5891;5891; 0.48;1
5901;5901; 0.54;1
5911;5911; 0.47;1
5921;5921; 0.46;1
5931;5931; 0.50;1
5941;5941; 0.46;1
5951;5951; 0.49;1
5961;5961; 0.55;1
5971;5971; 0.48;1
5981;5981; 0.49;1
5991;5991; 0.48;1
6001;6001; 0.48;1
6011;6011; 0.48;1
6021;6021; 0.59;1
6031;6031; 0.47;1
6041;6041; 0.49;1
6051;6051; 0.48;1
6061;6061; 0.50;1
6071;6071; 0.49;1
6081;6081; 0.49;1
6091;6091; 0.49;1
6101;6101; 0.50;1
6111;6111; 0.50;1
6121;6121; 0.51;1
6131;6131; 0.54;1
6141;6141; 0.51;1
6151;6151; 0.50;1
6161;6161; 0.49;1
6171;6171; 0.50;1
6181;6181; 0.50;1
6191;6191; 0.50;1
6201;6201; 0.52;1
6211;6211; 0.51;1
6221;6221; 0.51;1
6231;6231; 0.52;1
6241;6241; 0.51;1
6251;6251; 0.52;1
6261;6261; 0.54;1
6271;6271; 0.52;1
6281;6281; 0.67;1
6291;6291; 0.54;1
6301;6301; 0.56;1
6311;6311; 0.56;1
6321;6321; 0.55;1
6331;6331; 0.73;1
6341;6341; 0.55;1
6351;6351; 0.54;1
6361;6361; 0.53;1
6371;6371; 0.53;1
6381;6381; 0.53;1
6391;6391; 0.79;1
6401;6401; 0.54;1
6411;6411; 0.59;1
6421;6421; 0.55;1
6431;6431; 0.54;1
6441;6441; 0.55;1
6451;6451; 0.59;1
6461;6461; 0.68;1
6471;6471; 0.57;1
6481;6481; 0.56;1
6491;6491; 0.55;1
6501;6501; 0.61;1
6511;6511; 0.57;1
6521;6521; 0.59;1
6531;6531; 0.57;1
6541;6541; 0.58;1
6551;6551; 0.68;1
6561;6561; 0.58;1
6571;6571; 0.57;1
6581;6581; 0.59;1
6591;6591; 0.61;1
6601;6601; 0.58;1
6611;6611; 0.58;1
6621;6621; 0.59;1
6631;6631; 0.59;1
6641;6641; 0.58;1
6651;6651; 0.58;1
6661;6661; 0.65;1
6671;6671; 0.59;1
6681;6681; 0.59;1
6691;6691; 0.60;1
6701;6701; 0.60;1
6711;6711; 0.60;1
6721;6721; 0.60;1
6731;6731; 0.60;1
6741;6741; 0.60;1
6751;6751; 0.61;1
6761;6761; 0.61;1
6771;6771; 0.61;1
6781;6781; 0.61;1
6791;6791; 0.62;1
6801;6801; 0.66;1
6811;6811; 0.62;1
6821;6821; 0.62;1
6831;6831; 0.62;1
6841;6841; 0.64;1
6851;6851; 0.64;1
6861;6861; 0.62;1
6871;6871; 0.63;1
6881;6881; 0.63;1
6891;6891; 0.64;1
6901;6901; 0.65;1
6911;6911; 0.63;1
6921;6921; 0.64;1
6931;6931; 0.65;1
6941;6941; 0.65;1
6951;6951; 0.65;1
6961;6961; 0.71;1
